Date,FRA,IT,JPA,USA
2023-07-31,117.71,119.9,105.7,305.691
2023-06-30,117.65,121.8,105.2,305.109
2023-05-31,117.44,121.7,105.1,304.127
2023-04-30,117.5,121.4,105.1,303.363
2023-03-31,116.79,120.3,104.4,301.836
2023-02-28,115.78,119.4,104.0,300.84
2023-01-31,114.6,119.3,104.7,299.17
2022-12-31,114.16,121.1,104.1,296.797
2022-11-30,114.26,120.8,103.9,297.711
2022-10-31,113.9,120.0,103.7,298.012
2022-09-30,112.74,115.6,103.1,296.808
2022-08-31,113.38,113.8,102.7,296.171
2022-07-31,112.87,112.8,102.3,296.276
2022-06-30,112.55,114.1,101.8,296.311
2022-05-31,111.72,112.7,101.8,292.296
2022-04-30,110.97,111.7,101.5,289.109
2022-03-31,110.49,111.3,101.1,287.504
2022-02-28,108.94,108.7,100.7,283.716
2022-01-31,108.12,107.8,100.3,281.148
2021-12-31,107.85,107.8,100.1,278.802
2021-11-30,107.64,107.3,100.1,277.948
2021-10-31,107.25,106.6,99.9,276.589
2021-09-30,106.81,105.7,100.1,274.31
2021-08-31,107.05,104.3,99.7,273.567
2021-07-31,106.4,104.1,99.7,273.003
2021-06-30,106.34,105.2,99.5,271.696
2021-05-31,106.2,105.0,99.4,269.195
2021-04-30,105.86,105.1,99.1,267.054
2021-03-31,105.75,104.2,99.9,264.877
2021-02-28,105.12,102.4,99.8,263.014
2021-01-31,105.12,102.6,99.8,261.582
2020-12-31,104.96,103.5,99.3,260.474
2020-11-30,104.73,103.3,99.5,260.229
2020-10-31,104.51,103.3,99.8,260.388
2020-09-30,104.55,102.7,99.9,260.28
2020-08-31,105.09,101.8,100.1,259.918
2020-07-31,105.19,103.1,100.0,259.101
2020-06-30,104.79,103.8,99.9,257.797
2020-05-31,104.71,103.8,100.1,256.394
2020-04-30,104.56,104.1,100.2,256.389
2020-03-31,104.59,103.6,100.3,258.115
2020-02-29,104.53,101.4,100.3,258.678
2020-01-31,104.54,101.9,100.5,257.971
2019-12-31,104.98,103.8,100.5,256.974
2019-11-30,104.52,103.6,100.5,257.208
2019-10-31,104.46,103.9,100.4,257.346
2019-09-30,104.5,103.7,100.1,256.759
2019-08-31,104.86,102.3,100.0,256.558
2019-07-31,104.38,102.3,99.8,256.571
2019-06-30,104.58,104.2,99.8,256.143
2019-05-31,104.33,104.1,100.0,256.092
